Malli;Brändi;SKU;Sukupuolilinja;Kiinnitys;Pituusmitoitus;Lesti;Kärkitila;Päällisen joustavuus;Jalkapöydän tila;Sisäpohja;Pohjan leveys;Käyttöluokka;Kenkätyyppi;Vaimennus 1-3;Rullaus 1-3 ;Kiertojäykkyys 1-3
Cambio 000587;Think!;62040;Nainen;Tarra;Iso;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Sandaali;2;2;3
5005;Natura;72007;Nainen;Tarra;Normaali;K-lesti;Normaali;2;Tilava;Irroitettava;Leveä;Kevyt/siro;Umpikenkä;1;1;1
205732;Ganter;28033;Nainen;Tarra;Pieni;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Umpikenkä;1;1;2
SWX11 / 30085.2;Xsensible;66033;Nainen;Nauha ja vetoketju;Normaali;Leveä;Anatominen;3;Normaali;Irroitettava;Normaali;Ulkoilu;Umpikenkä;3;3;3
Ilmari 46300;Pomar;52032;Mies;Nauha;Iso;K-lesti;Normaali;1;Tilava;Irroitettava;Normaali;Kevyt/siro;Umpikenkä;1;1;1
Jon;Shepherd;57004;Mies;Ei mitään;Normaali;Normaali;Normaali;2;Normaali;Irroitettava;Normaali;Sisäkäyttö;Umpikenkä;2;1;1
6402;Rohde;55003;Mies;Ei mitään;Normaali;Leveä;Normaali;1;Normaali;Kiinteä;Normaali;Sisäkäyttö;Umpikenkä;1;1;1
Arry;PodoWell;51008;Mies;Tarra;Normaali;K-lesti;Normaali;3;Tilava;Irroitettava;Leveä;Sisäkäyttö;Umpikenkä;1;1;1
Aladin;PodoWell;51007;Mies;Tarra;Pieni;Leveä;Normaali;3;Tilava;Irroitettava;Leveä;Sisäkäyttö;Umpikenkä;1;1;2
Anatole;PodoWell;51014;Mies;Tarra;Pieni;K-lesti;Normaali;2;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Umpikenkä;1;1;2
182-24;New Feet;45006;Mies;Nauha;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Umpikenkä;2;2;3
Altitude;PodoWell;51010;Mies;Tarra;Pieni;K-lesti;Normaali;3;Tilava;Irroitettava;Leveä;Sisäkäyttö;Umpikenkä;1;1;2
22.132;Belvida;19003;Mies;Ei mitään;Normaali;Leveä;Normaali;3;Tilava;Irroitettava;Leveä;Sisäkäyttö;Sandaali;1;1;2
22.129;Belvida;19001;Mies;Tarra;Normaali;Leveä;Normaali;3;Tilava;Irroitettava;Leveä;Päivittäinen;Sandaali;1;1;2
Benjo 24607;Ara;16060;Mies;Nauha ja vetoketju;Normaali;Kapea;Normaali;1;Matala;Irroitettava;Leveä;Päivittäinen;Umpikenkä;2;1;1
Valden;Mephisto;42001;Mies;Tarra;Normaali;Leveä;Anatominen;2;Normaali;Irroitettava;Erittäin leveä;Päivittäinen;Sandaali;2;1;2
1235;Rohde;55005;Mies;Tarra;Normaali;Normaali;Normaali;2;Normaali;Irroitettava;Normaali;Kevyt/siro;Umpikenkä;1;1;1
6607;Rohde;55001;Mies;Ei mitään;Normaali;Leveä;Normaali;1;Normaali;Kiinteä;Normaali;Sisäkäyttö;Umpikenkä;1;1;1
43613;Pomar;52063;Mies;Nauha;Iso;Leveä;Normaali;1;Tilava;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;2
81-47-210;New Feet;45001;Mies;Tarra;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Umpikenkä;2;2;3
17371;Rieker;54010;Mies;Ei mitään;Normaali;Normaali;Normaali;1;Matala;Irroitettava;Normaali;Kevyt/siro;Umpikenkä;1;1;1
366002 Hector;Waldläufer;65018;Mies;Nauha;Normaali;Leveä;Anatominen;1;Normaali;Irroitettava;Leveä;Päivittäinen;Umpikenkä;1;1;1
26951;Rieker;54012;Mies;Tarra;Normaali;Normaali;Normaali;2;Normaali;Kiinteä;Leveä;Päivittäinen;Umpikenkä;2;1;2
;Ortobio;48003;Mies;Tarra;Normaali;Normaali;Normaali;2;Normaali;Irroitettava;Leveä;Sisäkäyttö;Sandaali;1;1;2
3651;Rieker;54016;Mies;Ei mitään;Normaali;Normaali;Normaali;1;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;2;1;2
D´lux journey;Skechers;77009;Mies;Nauha;Pieni;Normaali;Normaali;1;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;3;1;2
210925;Skechers;77011;Mies;Nauha;Normaali;Normaali;Normaali;1;Normaali;Irroitettava;Normaali;Päivittäinen;Umpikenkä;3;1;2
2525-22646-826;Fly Flot;26008;Mies;Ei mitään;Normaali;Leveä;Normaali;2;Tilava;Kiinteä;Normaali;Sisäkäyttö;Umpikenkä;1;1;1
7142;Rohde;55009;Mies;Ei mitään;Normaali;Leveä;Normaali;2;Tilava;Irroitettava;Normaali;Sisäkäyttö;Umpikenkä;2;1;1
Maipo;Merrell;43026;Mies;Nauha;Pieni;Normaali;Normaali;1;Normaali;Irroitettava;Normaali;Ulkoilu;Umpikenkä;3;1;2
251-11;New Feet;45146;Mies;Tarra;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Erittäin leveä;Päivittäinen;Sandaali;2;1;2
229217;Skechers;77013;Mies;Tarra;Normaali;Leveä;Normaali;2;Normaali;Kiinteä;Normaali;Päivittäinen;Umpikenkä;3;2;2
232700;Skechers;77014;Mies;Nauha;Iso;Leveä;Normaali;2;Tilava;Irroitettava;Normaali;Päivittäinen;Umpikenkä;3;1;1
Speed Strike;Merrell;43027;Mies;Nauha;Pieni;Leveä;Normaali;1;Normaali;Irroitettava;Leveä;Ulkoilu;Umpikenkä;2;2;2
241-11-110;New Feet;45145;Mies;Tarra;Normaali;K-lesti;Anatominen;3;Tilava;Irroitettava;Leveä;Päivittäinen;Sandaali;2;1;3
